,A,B
0,1,0.5472
1,2,0.1944
2,3,0.0748
3,4,0.0396
4,5,0.034
5,6,0.0224
6,7,0.0136
7,8,0.0124
8,9,0.01
9,10,0.0048
10,11,0.0064
11,12,0.0048
12,13,0.0016
13,14,0.0024
14,15,0.0024
15,16,0.0028
16,17,0.0024
17,18,0.0016
18,19,0.0012
19,20,0.0008
20,21,0.0012
21,23,0.0004
22,24,0.002
23,25,0.0012
24,26,0.0008
25,29,0.0004
26,31,0.0004
27,32,0.0008
28,33,0.0004
29,34,0.0004
30,35,0.0004
31,37,0.0004
32,39,0.0012
33,40,0.0004
34,41,0.0004
35,43,0.0004
36,46,0.0004
37,47,0.0008
38,48,0.0004
39,49,0.0004
40,51,0.0004
41,53,0.0004
42,57,0.0004
43,60,0.0004
44,63,0.0004
45,68,0.0004
46,95,0.0004
47,97,0.0004
48,100,0.0004
49,125,0.0004
50,126,0.0004
51,189,0.0004
52,359,0.0004
53,362,0.0004
54,363,0.0004
55,385,0.0004
56,477,0.0004
57,952,0.0004
